Nombre de la Estación,Tipo de Instalación,Latitude,Longitude,Barrio
iPark NYC 333 E 38th NYU - Tesla Destination,PAY_GARAGE,40.746891,-73.972547,Manhattan
Standard Parking Gateway Plaza Garage - Tesla Destination,PAY_GARAGE,40.710652,-74.016396,Brooklyn
MPG 340 East 93rd - Tesla Destination,PAY_GARAGE,40.781375,-73.946721,Manhattan
Rapidpark 340 94th Street - Tesla Destination,PAY_GARAGE,40.781961,-73.946209,Manhattan
iPark NYC 345 East Garage - Tesla Destination,PAY_GARAGE,40.773471,-73.952304,Manhattan
Rapidpark 35 E 75th Street - Tesla Destination,PAY_GARAGE,40.773815,-73.963696,Manhattan
"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",HOTEL,40.774308,-73.963182,Manhattan
Quik Park 82nd Street LLC - Tesla Destination,PAY_GARAGE,40.774316,-73.951909,Manhattan
GGMC Parking 350 W 43rd Street Garage - Tesla Destination,PAY_GARAGE,40.758503,-73.991285,Manhattan
Rapidpark 351 East 83rd - Tesla Destination,PAY_GARAGE,40.775208,-73.950978,Manhattan
Icon Parking 35-39 East 61st Street - Tesla Destination,PAY_GARAGE,40.764876,-73.970102,Manhattan
Icon 376 Greenwich Street - Tesla Destination,PAY_GARAGE,40.719814,-74.010394,Brooklyn
iPark NYU 377 E 33rd Street - Tesla Destination,PAY_GARAGE,40.743382,-73.974251,Manhattan
Icon Parking 111 8th Ave Parking - Tesla Destination,PAY_GARAGE,40.741669,-74.004397,Manhattan
iPark 386 E 48th Street - Tesla Destination,PAY_GARAGE,40.751772,-73.964999,Manhattan
Icon Parking Wall Park - Tesla Destination,PAY_GARAGE,40.706109,-74.010148,Brooklyn
GGMC Parking Carnegie Garage - Tesla Destination,PAY_GARAGE,40.785524,-73.95496,Manhattan
City Parking RL Mercer Street - Tesla Destination,PAY_GARAGE,40.721244,-74.00092,Brooklyn
Icon Parking 40 W 26th Street - Tesla Destination,PAY_GARAGE,40.743961,-73.989912,Manhattan
iPark NYC 400 E 35th NYU - Tesla Destination,PAY_GARAGE,40.744093,-73.972689,Manhattan
Icon Liberty View Parking - Tesla Destination,PAY_GARAGE,40.716079,-74.015929,Brooklyn
Champion Parking 113 LLC - Tesla Destination,PAY_GARAGE,40.804007,-73.960887,Manhattan
Propark 401 W 110th Street - Tesla Destination,PAY_GARAGE,40.802368,-73.961689,Manhattan
Parkit 403 Lafayette St. - Tesla Destination,PAY_GARAGE,40.728137,-73.992393,Manhattan
iPark 41 E 85th Street - Tesla Destination,PAY_GARAGE,40.780305,-73.959091,Manhattan
Rapidpark 411 W 55th Street - Tesla Destination,PAY_GARAGE,40.767111,-73.987232,Manhattan
GGMC Parking 415 E 79th - Tesla Destination,PAY_GARAGE,40.772197,-73.95183,Manhattan
Icon Parking Sutton 53 - Tesla Destination,PAY_GARAGE,40.755371,-73.963368,Manhattan
Icon Parking Independent - Tesla Destination,PAY_GARAGE,40.766976,-73.955645,Manhattan
GMC Parking 420 E 53rd - Tesla Destination,PAY_GARAGE,40.755013,-73.963549,Manhattan
Sutton Place North Garage - Tesla Destination,PAY_GARAGE,40.755679,-73.963528,Manhattan
imPark 422 E 79th Street - Tesla Destination,PAY_GARAGE,40.771766,-73.951838,Manhattan
Quik Park West 23rd Street Garage LLC - Tesla Destination,PAY_GARAGE,40.746762,-74.001428,Manhattan
iPark NYC 425 E 58th Street - Tesla Destination,PAY_GARAGE,40.758766,-73.961406,Manhattan
City Parking E 61st Street - Tesla Destination,PAY_GARAGE,40.760522,-73.959278,Manhattan
ABM Parking 866 UN Plaza - Tesla Destination,PAY_GARAGE,40.752516,-73.965347,Manhattan
Quikpark 43-08 Crescent Street - Tesla Destination,PAY_GARAGE,40.748762,-73.942538,Manhattan
iPark NYC 44 Elizabeth Street - Tesla Destination,PAY_GARAGE,40.716947,-73.996472,Brooklyn
Quik Park 86th St. LLC - Tesla Destination,PAY_GARAGE,40.775975,-73.947732,Manhattan
Rapidpark 480 Riverside (120th St) - Tesla Destination,PAY_GARAGE,40.811206,-73.963782,Manhattan
iPark NYC Central Harlem Garage Corp. - Tesla Destination,PAY_GARAGE,40.801497,-73.94792,Manhattan
Icon Parking 5 E 22nd Street - Tesla Destination,PAY_GARAGE,40.740794,-73.988885,Manhattan
GGMC Parking Battery Place - Tesla Destination,PAY_GARAGE,40.706643,-74.018095,Brooklyn
GGMC Parking 50 E 79th St Garage - Tesla Destination,PAY_GARAGE,40.775932,-73.961937,Manhattan
MPG 500 West 30th - Tesla Destination,PAY_GARAGE,40.751987,-74.001701,Manhattan
Roger Smith Hotel - Tesla Destination,HOTEL,40.754735,-73.973361,Manhattan
Icon Parking 51 W 22nd - Tesla Destination,PAY_GARAGE,40.742197,-73.992168,Manhattan
Icon Parking 524 East 73rd - Tesla Destination,PAY_GARAGE,40.766741,-73.95193,Manhattan
GGMC Parking 51-53 E 76th St Carlyle Hotel - Tesla Destination,PAY_GARAGE,40.774265,-73.96278,Manhattan
iPark 530 E 80th Street - Tesla Destination,PAY_GARAGE,40.771136,-73.948252,Manhattan
MPG 530 West 30th - Tesla Destination,PAY_GARAGE,40.752558,-74.002736,Manhattan
Icon Parking E 88th Street - Tesla Destination,PAY_GARAGE,40.776302,-73.944521,Manhattan
Icon Parking 54 Murray Street - Tesla Destination,PAY_GARAGE,40.714121,-74.009808,Brooklyn
Standard Parking 800 6th Ave - Tesla Destination,PAY_GARAGE,40.745449,-73.989622,Manhattan
Loews Regency New York - Tesla Destination,HOTEL,40.764608,-73.969355,Manhattan
MPG 543 W 110th Street Garage - Tesla Destination,PAY_GARAGE,40.804167,-73.965894,Manhattan
iPark NYC 549 W 23rd Street - Tesla Destination,PAY_GARAGE,40.748931,-74.006078,Manhattan
Icon Parking 55 W 14th Street - Tesla Destination,PAY_GARAGE,40.737266,-73.99611,Manhattan
