cant_registros,costo_total,costo_promedio,duracion_promedio,distancia_promedio,dia,barrio_abordaje,barrio_destino,codigo_postal_abordaje,codigo_postal_destino
3107,115225.31000000004,37.085712906340525,30.141615706469263,7.371110395880269,2024-02-01,Bronx,Manhattan,10467,10027
52,4226.760000000001,81.28384615384617,25.07692307692308,26.61538461538462,2023-06-01,Staten Island,Bronx,10311,10454
1281,47250.42999999999,36.885581576893046,28.33567525370804,6.072630757220921,2023-01-01,Bronx,Manhattan,10470,10257
57460,2518990.2399999998,43.83902262443438,26.59227288548556,6.338860946745561,2024-02-01,Manhattan,Brooklyn,10033,11235
37030,2569343.81,69.38546610856062,32.064866324601674,13.542076694571971,2024-02-01,Queens,Brooklyn,11435,11222
69,6236.539999999997,90.38463768115936,32.89855072463768,14.744927536231884,2023-02-01,Staten Island,Manhattan,10307,10128
1460,46848.03999999998,32.08769863013697,27.71232876712329,5.327452054794521,2022-04-01,Bronx,Manhattan,10471,10103
85,5478.350000000003,64.45117647058827,35.023529411764706,13.680941176470586,2023-03-01,Staten Island,Brooklyn,10306,11205
81708,2694815.4799999897,32.98104812258273,25.68876976550644,6.429628677730454,2022-04-01,Manhattan,Brooklyn,10028,11244
236,25554.810000000005,108.283093220339,36.91525423728814,18.65283898305085,2024-01-01,Manhattan,Staten Island,10027,10310
42882,2137871.5499999947,49.85475374282903,32.293129984608925,13.85648733734434,2022-04-01,Queens,Brooklyn,11364,11228
339,42741.19000000002,126.08020648967556,39.15339233038348,26.58185840707964,2024-01-01,Queens,Staten Island,11367,10310
64207,2738761.400000001,42.65518401420408,25.052751257651035,6.369662030619716,2023-01-01,Manhattan,Brooklyn,10019,11210
42828,2916681.399999999,68.10220883534134,30.94529279910339,13.532850471654063,2023-01-01,Queens,Brooklyn,11416,11232
32817,1619034.9999999974,49.335253070055074,31.744675015997807,13.813268427948932,2022-02-01,Queens,Brooklyn,11451,11249
11146,226734.05,20.342190023326754,14.476673246007536,2.559325318499911,2022-09-01,Brooklyn,Brooklyn,11208,11220
2565,63050.920000000006,24.581255360623786,17.325536062378166,2.6526822612085774,2023-07-01,Bronx,Bronx,10470,10457
47,3753.51,79.86191489361703,24.04255319148936,21.69106382978724,2023-07-01,Bronx,Staten Island,10452,10310
2,89.20999999999998,44.605,38.5,15.739999999999998,2024-01-01,Staten Island,Queens,10304,11428
11619,463546.6200000002,39.89556932610382,25.224718134090715,8.538794216369737,2022-12-01,Manhattan,Bronx,10265,10473
5540,367265.07,66.29333393501805,29.90451263537906,15.416693140794225,2022-12-01,Queens,Bronx,11103,10475
3726,176290.48999999996,47.31360440150294,29.289049919484704,9.864946323134724,2023-12-01,Brooklyn,Queens,11222,11378
1837,37655.59,20.498415895481767,16.365269461077844,2.6505606967882422,2022-02-01,Bronx,Bronx,10469,10462
12864,454837.96000000025,35.35742848258708,26.059546019900495,8.387842039800992,2022-06-01,Manhattan,Bronx,10273,10461
429,21356.48000000001,49.782004662004695,32.743589743589745,8.972517482517484,2022-03-01,Bronx,Queens,10469,11436
6303,371190.8399999997,58.89113755354588,30.634301126447724,15.731207361573851,2022-06-01,Queens,Bronx,11101,10464
9611,386562.20000000007,40.22080948912705,26.13817500780356,6.180851108105294,2023-12-01,Brooklyn,Manhattan,11203,10213
502,26043.93,51.88033864541832,30.94422310756972,10.030717131474107,2023-11-01,Bronx,Queens,10472,11416
41,2636.9400000000005,64.31560975609757,36.073170731707314,15.655609756097562,2023-06-01,Staten Island,Brooklyn,10301,11205
77021,2338120.8799999817,30.356927071837312,14.992898040794069,5.779655158982616,2022-10-01,Queens,Queens,11419,11405
1536,50878.52999999999,33.12404296875,28.38671875,5.424342447916665,2022-03-01,Bronx,Manhattan,10468,10017
11922,414625.65000000026,34.77819577252141,25.582536487166585,8.416352960912597,2022-07-01,Manhattan,Bronx,10169,10452
135893,6824952.149999992,50.22298536348445,28.818460111999883,11.204035969475989,2022-10-01,Manhattan,Queens,10020,11429
2015,46237.02,22.946411910669973,13.586104218362284,2.3329875930521093,2022-08-01,Bronx,Bronx,10475,10469
2866001,62015509.750000075,21.6383419789456,12.519893747420186,1.9604105406802008,2023-05-01,Manhattan,Manhattan,10065,10112
203697,16509544.800000103,81.04952355704846,32.07295149167636,13.971503998586131,2023-05-01,Queens,Manhattan,11415,10277
164303,13265229.530000055,80.73638052865776,33.09329714004005,14.156454051356326,2023-08-01,Queens,Manhattan,11005,10261
294,35544.26999999997,120.89887755102028,35.785714285714285,25.902312925170065,2023-02-01,Queens,Staten Island,11101,10308
367,35734.40999999998,97.36896457765663,35.46049046321526,17.286512261580384,2023-02-01,Manhattan,Staten Island,10019,10309
3330,144204.27,43.30458558558559,28.2975975975976,9.558162162162168,2024-02-01,Brooklyn,Queens,11207,11355
3001566,49993670.659991086,16.655862526424905,12.651972003947272,2.0431383384539936,2022-10-01,Manhattan,Manhattan,10110,10154
42849,2141850.029999994,49.9859980396274,32.017806716609485,13.904396835398728,2022-03-01,Queens,Brooklyn,11372,11217
78741,2587538.629999991,32.861388984137754,25.826862752568548,6.4636834685868845,2022-03-01,Manhattan,Brooklyn,10001,11201
348,17860.799999999996,51.32413793103447,30.071839080459768,9.23149425287356,2022-12-01,Bronx,Queens,10474,11358
77,5124.400000000004,66.55064935064941,34.415584415584405,12.482857142857146,2022-06-01,Staten Island,Brooklyn,10308,11228
373,24020.349999999984,64.39772117962463,32.957104557640754,13.200857908847183,2023-04-01,Bronx,Brooklyn,10466,11256
104,5716.480000000003,54.96615384615388,31.028846153846157,13.740192307692304,2022-10-01,Brooklyn,Staten Island,11239,10314
2564268,40954512.58999324,15.971229446373483,11.383768389263524,2.057815524742342,2022-08-01,Manhattan,Manhattan,10265,10152
193305,11896089.620000098,61.540516903339785,32.40444892786012,14.573749049429669,2022-10-01,Queens,Manhattan,11104,10027
160306,9712840.490000019,60.589375881127474,33.182413633925115,14.600325440095816,2022-08-01,Queens,Manhattan,11373,10153
374,18586.12999999999,49.69553475935826,29.930481283422456,8.417005347593584,2022-06-01,Bronx,Queens,10472,11104
76194,2546046.5199999884,33.4153151166757,14.633619445100663,5.6913624432370025,2022-12-01,Queens,Queens,11354,11101
1579,74028.63999999998,46.883242558581365,27.60607979734009,8.965129829005702,2023-01-01,Brooklyn,Queens,11218,11405
